Initialising Weights Randomly Between 0 and 1
Hidden Units: 10
Number of Epochs: 10000

****************
Learning Rate: 0.001
****************

Training log:
****************
Error after 100 epochs: 0.9910490787720088
Error after 500 epochs: 0.990963030004568
Error after 1000 epochs: 0.996836518275549
Error after 2000 epochs: 0.9968365157044256
Error after 5000 epochs: 0.996836499561075
Error after 10000 epochs: 0.9936585580123432

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: A

Target: F
Prediction: A

Target: H
Prediction: A

Target: B
Prediction: A

Target: E
Prediction: A

Target: H
Prediction: A

Target: U
Prediction: A

Target: W
Prediction: A

Target: S
Prediction: A

Target: O
Prediction: A

Target: V
Prediction: A

Target: A
Prediction: A

Target: C
Prediction: A

Target: B
Prediction: A

Target: A
Prediction: A

Target: H
Prediction: A

Target: H
Prediction: A

Target: R
Prediction: A

Target: X
Prediction: A

Target: O
Prediction: A

Target: R
Prediction: A

Target: O
Prediction: A

Target: W
Prediction: A

Target: J
Prediction: A

Target: V
Prediction: A

Target: K
Prediction: A

Target: S
Prediction: A

Target: C
Prediction: A

Target: Q
Prediction: A

Target: X
Prediction: A

Target: A
Prediction: A

Target: F
Prediction: A

Target: T
Prediction: A

Target: O
Prediction: A

Target: G
Prediction: A

Target: K
Prediction: A

Target: Y
Prediction: A

Target: H
Prediction: A

Target: Z
Prediction: A

Target: C
Prediction: A

Target: P
Prediction: A

Target: C
Prediction: A

Target: Z
Prediction: A

Target: H
Prediction: A

Target: H
Prediction: A

Target: O
Prediction: A

Target: R
Prediction: A

Target: A
Prediction: A

Target: Y
Prediction: A

Target: N
Prediction: A

Target: Q
Prediction: A

Target: F
Prediction: A

Target: I
Prediction: A

Target: I
Prediction: A

Target: R
Prediction: A

Target: J
Prediction: A

Target: T
Prediction: A

Target: D
Prediction: A

Target: Q
Prediction: A

Target: P
Prediction: A

Target: P
Prediction: A

Target: V
Prediction: A

Target: W
Prediction: A

Target: J
Prediction: A

Target: P
Prediction: A

Target: K
Prediction: A

Target: M
Prediction: A

Target: K
Prediction: A

Target: N
Prediction: A

Target: P
Prediction: A

Target: O
Prediction: A

Target: F
Prediction: A

Target: R
Prediction: A

Target: D
Prediction: A

Target: D
Prediction: A

Target: M
Prediction: A

Target: Z
Prediction: A

Target: R
Prediction: A

Target: M
Prediction: A

Target: T
Prediction: A

Target: A
Prediction: A

Target: W
Prediction: A

Target: W
Prediction: A

Target: K
Prediction: A

Target: E
Prediction: A

Target: F
Prediction: A

Target: G
Prediction: A

Target: Q
Prediction: A

Target: V
Prediction: A

Target: Y
Prediction: A

Target: G
Prediction: A

Target: Y
Prediction: A

Target: O
Prediction: A

Target: I
Prediction: A

Target: X
Prediction: A

Target: U
Prediction: A

Target: G
Prediction: A

Target: N
Prediction: A

Target: Q
Prediction: A

Target: Y
Prediction: A

Target: Z
Prediction: A

Target: H
Prediction: A

Target: Q
Prediction: A

Target: O
Prediction: A

Target: S
Prediction: A

Target: O
Prediction: A

Target: I
Prediction: A

Target: G
Prediction: A

Target: G
Prediction: A

Target: P
Prediction: A

Target: W
Prediction: A

Target: Q
Prediction: A

Target: F
Prediction: A

Target: X
Prediction: A

Target: B
Prediction: A

Target: F
Prediction: A

Target: X
Prediction: A

Target: X
Prediction: A

Target: I
Prediction: A

Target: E
Prediction: A

Target: I
Prediction: A

Target: J
Prediction: A

Target: P
Prediction: A

Target: P
Prediction: A

Target: D
Prediction: A

Target: X
Prediction: A

Target: V
Prediction: A

Target: F
Prediction: A

Target: V
Prediction: A

Target: W
Prediction: A

Target: P
Prediction: A

Target: Q
Prediction: A

Target: E
Prediction: A

Target: I
Prediction: A

Target: A
Prediction: A

Target: O
Prediction: A

Target: N
Prediction: A

Target: M
Prediction: A

Target: L
Prediction: A

Target: R
Prediction: A

Target: B
Prediction: A

Target: S
Prediction: A

Target: J
Prediction: A

Target: K
Prediction: A

Target: O
Prediction: A

Target: I
Prediction: A

Target: Y
Prediction: A

Target: B
Prediction: A

Target: R
Prediction: A

Target: J
Prediction: A

Target: Z
Prediction: A

Target: N
Prediction: A

Target: B
Prediction: A

Target: S
Prediction: A

Target: U
Prediction: A

