Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 30
Number of Epochs: 10000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.2617340638086242
Error after 500 epochs: 0.12670470559916694
Error after 1000 epochs: 0.12477264077772603
Error after 2000 epochs: 0.10542691295915459
Error after 5000 epochs: 0.1006544070811989
Error after 10000 epochs: 0.0920484688604942

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: U

Target: F
Prediction: F

Target: H
Prediction: H

Target: B
Prediction: B

Target: E
Prediction: R

Target: H
Prediction: Z

Target: U
Prediction: U

Target: W
Prediction: W

Target: S
Prediction: S

Target: O
Prediction: O

Target: V
Prediction: V

Target: A
Prediction: A

Target: C
Prediction: Z

Target: B
Prediction: S

Target: A
Prediction: A

Target: H
Prediction: H

Target: H
Prediction: N

Target: R
Prediction: R

Target: X
Prediction: X

Target: O
Prediction: C

Target: R
Prediction: R

Target: O
Prediction: O

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: V

Target: K
Prediction: R

Target: S
Prediction: R

Target: C
Prediction: S

Target: Q
Prediction: O

Target: X
Prediction: X

Target: A
Prediction: A

Target: F
Prediction: F

Target: T
Prediction: T

Target: O
Prediction: O

Target: G
Prediction: Z

Target: K
Prediction: X

Target: Y
Prediction: Y

Target: H
Prediction: N

Target: Z
Prediction: Z

Target: C
Prediction: C

Target: P
Prediction: P

Target: C
Prediction: C

Target: Z
Prediction: S

Target: H
Prediction: H

Target: H
Prediction: H

Target: O
Prediction: O

Target: R
Prediction: R

Target: A
Prediction: A

Target: Y
Prediction: R

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: F
Prediction: F

Target: I
Prediction: Z

Target: I
Prediction: I

Target: R
Prediction: R

Target: J
Prediction: J

Target: T
Prediction: T

Target: D
Prediction: D

Target: Q
Prediction: Q

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: V

Target: W
Prediction: W

Target: J
Prediction: J

Target: P
Prediction: V

Target: K
Prediction: R

Target: M
Prediction: R

Target: K
Prediction: R

Target: N
Prediction: W

Target: P
Prediction: R

Target: O
Prediction: O

Target: F
Prediction: F

Target: R
Prediction: R

Target: D
Prediction: D

Target: D
Prediction: D

Target: M
Prediction: M

Target: Z
Prediction: Z

Target: R
Prediction: R

Target: M
Prediction: M

Target: T
Prediction: B

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: X

Target: E
Prediction: Z

Target: F
Prediction: F

Target: G
Prediction: R

Target: Q
Prediction: Q

Target: V
Prediction: V

Target: Y
Prediction: T

Target: G
Prediction: R

Target: Y
Prediction: Y

Target: O
Prediction: D

Target: I
Prediction: I

Target: X
Prediction: X

Target: U
Prediction: U

Target: G
Prediction: R

Target: N
Prediction: W

Target: Q
Prediction: Q

Target: Y
Prediction: Y

Target: Z
Prediction: Z

Target: H
Prediction: O

Target: Q
Prediction: Q

Target: O
Prediction: O

Target: S
Prediction: S

Target: O
Prediction: O

Target: I
Prediction: Z

Target: G
Prediction: H

Target: G
Prediction: H

Target: P
Prediction: P

Target: W
Prediction: W

Target: Q
Prediction: S

Target: F
Prediction: F

Target: X
Prediction: X

Target: B
Prediction: H

Target: F
Prediction: S

Target: X
Prediction: Z

Target: X
Prediction: X

Target: I
Prediction: I

Target: E
Prediction: S

Target: I
Prediction: I

Target: J
Prediction: N

Target: P
Prediction: P

Target: P
Prediction: Z

Target: D
Prediction: R

Target: X
Prediction: Z

Target: V
Prediction: V

Target: F
Prediction: T

Target: V
Prediction: V

Target: W
Prediction: W

Target: P
Prediction: V

Target: Q
Prediction: V

Target: E
Prediction: C

Target: I
Prediction: Z

Target: A
Prediction: A

Target: O
Prediction: R

Target: N
Prediction: W

Target: M
Prediction: M

Target: L
Prediction: L

Target: R
Prediction: R

Target: B
Prediction: B

Target: S
Prediction: S

Target: J
Prediction: J

Target: K
Prediction: X

Target: O
Prediction: R

Target: I
Prediction: J

Target: Y
Prediction: Y

Target: B
Prediction: B

Target: R
Prediction: R

Target: J
Prediction: J

Target: Z
Prediction: Z

Target: N
Prediction: N

Target: B
Prediction: R

Target: S
Prediction: S

Target: U
Prediction: U

Target: J
Prediction: J

Target: Q
Prediction: R

Target: T
Prediction: T

Target: Z
Prediction: Z

Target: F
Prediction: W

Target: J
Prediction: J

Target: L
Prediction: L

Target: V
Prediction: V

Target: I
Prediction: S

Target: U
Prediction: O

Target: K
Prediction: K

Target: E
Prediction: R

Target: F
Prediction: P

Target: N
Prediction: N

Target: A
Prediction: S

Target: N
Prediction: W

Target: B
Prediction: R

Target: J
Prediction: J

Target: P
Prediction: P

Target: Z
Prediction: Z

Target: W
Prediction: W

Target: F
Prediction: F

Target: X
Prediction: X

Target: R
Prediction: R

Target: H
Prediction: H

Target: L
Prediction: L

Target: R
Prediction: R

Target: O
Prediction: O

Target: K
Prediction: X

Target: S
Prediction: S

Target: C
Prediction: C

Target: Y
Prediction: H

Target: Z
Prediction: Z

Target: F
Prediction: F

Target: C
Prediction: S

Target: H
Prediction: H

Target: T
Prediction: T

Target: R
Prediction: R

Target: S
Prediction: Z

Target: D
Prediction: V

Target: E
Prediction: V

Target: A
Prediction: A

Target: E
Prediction: C

Target: Y
Prediction: V

Target: P
Prediction: P

Target: J
Prediction: J

Target: W
Prediction: W

Target: M
