Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 40
Number of Epochs: 2000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.09439690463883256
Error after 500 epochs: 0.07606833689360301
Error after 1000 epochs: 0.07556317773385342
Error after 2000 epochs: 0.0777080555988384

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: P

Target: F
Prediction: P

Target: H
Prediction: M

Target: B
Prediction: L

Target: E
Prediction: L

Target: H
Prediction: M

Target: U
Prediction: L

Target: W
Prediction: W

Target: S
Prediction: P

Target: O
Prediction: M

Target: V
Prediction: P

Target: A
Prediction: A

Target: C
Prediction: P

Target: B
Prediction: A

Target: A
Prediction: A

Target: H
Prediction: W

Target: H
Prediction: P

Target: R
Prediction: L

Target: X
Prediction: A

Target: O
Prediction: W

Target: R
Prediction: W

Target: O
Prediction: M

Target: W
Prediction: M

Target: J
Prediction: M

Target: V
Prediction: L

Target: K
Prediction: W

Target: S
Prediction: W

Target: C
Prediction: L

Target: Q
Prediction: A

Target: X
Prediction: A

Target: A
Prediction: A

Target: F
Prediction: P

Target: T
Prediction: L

Target: O
Prediction: W

Target: G
Prediction: L

Target: K
Prediction: M

Target: Y
Prediction: V

Target: H
Prediction: W

Target: Z
Prediction: L

Target: C
Prediction: L

Target: P
Prediction: P

Target: C
Prediction: L

Target: Z
Prediction: L

Target: H
Prediction: P

Target: H
Prediction: M

Target: O
Prediction: L

Target: R
Prediction: W

Target: A
Prediction: A

Target: Y
Prediction: W

Target: N
Prediction: M

Target: Q
Prediction: M

Target: F
Prediction: P

Target: I
Prediction: A

Target: I
Prediction: L

Target: R
Prediction: W

Target: J
Prediction: A

Target: T
Prediction: P

Target: D
Prediction: P

Target: Q
Prediction: M

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: L

Target: W
Prediction: W

Target: J
Prediction: A

Target: P
Prediction: M

Target: K
Prediction: M

Target: M
Prediction: W

Target: K
Prediction: A

Target: N
Prediction: W

Target: P
Prediction: W

Target: O
Prediction: L

Target: F
Prediction: P

Target: R
Prediction: M

Target: D
Prediction: A

Target: D
Prediction: L

Target: M
Prediction: W

Target: Z
Prediction: V

Target: R
Prediction: M

Target: M
Prediction: W

Target: T
Prediction: L

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: M

Target: E
Prediction: A

Target: F
Prediction: P

Target: G
Prediction: L

Target: Q
Prediction: W

Target: V
Prediction: M

Target: Y
Prediction: W

Target: G
Prediction: L

Target: Y
Prediction: V

Target: O
Prediction: P

Target: I
Prediction: V

Target: X
Prediction: M

Target: U
Prediction: P

Target: G
Prediction: W

Target: N
Prediction: L

Target: Q
Prediction: A

Target: Y
Prediction: L

Target: Z
Prediction: A

Target: H
Prediction: L

Target: Q
Prediction: W

Target: O
Prediction: P

Target: S
Prediction: L

Target: O
Prediction: M

Target: I
Prediction: V

Target: G
Prediction: W

Target: G
Prediction: W

Target: P
Prediction: P

Target: W
Prediction: M

Target: Q
Prediction: A

Target: F
Prediction: P

Target: X
Prediction: A

Target: B
Prediction: W

Target: F
Prediction: W

Target: X
Prediction: L

Target: X
Prediction: A

Target: I
Prediction: L

Target: E
Prediction: A

Target: I
Prediction: A

Target: J
Prediction: W

Target: P
Prediction: P

Target: P
Prediction: W

Target: D
Prediction: W

Target: X
Prediction: L

Target: V
Prediction: A

Target: F
Prediction: P

Target: V
Prediction: A

Target: W
Prediction: W

Target: P
Prediction: W

Target: Q
Prediction: W

Target: E
Prediction: L

Target: I
Prediction: A

Target: A
Prediction: A

Target: O
Prediction: W

Target: N
Prediction: W

Target: M
Prediction: W

Target: L
Prediction: L

Target: R
Prediction: W

Target: B
Prediction: P

Target: S
Prediction: L

Target: J
Prediction: A

Target: K
Prediction: M

Target: O
Prediction: W

Target: I
Prediction: V

Target: Y
Prediction: L

Target: B
Prediction: L

Target: R
Prediction: M

Target: J
Prediction: A

Target: Z
Prediction: A

Target: N
Prediction: W

Target: B
Prediction: M

Target: S
Prediction: P

Target: U
Prediction: L

Target: J
Prediction: A

Target: Q
Prediction: A

Target: T
Prediction: L

Target: Z
Prediction: L

Target: F
Prediction: W

Target: J
Prediction: A

Target: L
Prediction: L

Target: V
Prediction: A

Target: I
Prediction: A

Target: U
Prediction: W

Target: K
Prediction: M

Target: E
Prediction: L

Target: F
Prediction: P

Target: N
Prediction: W

Target: A
Prediction: L

Target: N
Prediction: M

Target: B
Prediction: M

Target: J
Prediction: A

Target: P
Prediction: P

Target: Z
Prediction: L

Target: W
Prediction: W

Target: F
Prediction: P

Target: X
Prediction: L

Target: R
Prediction: A

Target: H
Prediction: W

Target: L
Prediction: A

Target: R
Prediction: W

Target: O
Prediction: W

Target: K
Prediction: M

Target: S
Prediction: L

Target: C
Prediction: L

Target: Y
Prediction: W

Target: Z
Prediction: A

Target: F
Prediction: P

Target: C
Prediction: A

Target: H
Prediction: M

Target: T
Prediction: L

Target: R
Prediction: P

Target: S
Prediction: L

Target: D
Prediction: W

Target: E
Prediction: P

Target: A
Prediction: A

Target: E
Prediction: L

Target: Y
Prediction: L

Target: P
Prediction: P

Target: J
Prediction: A

Target: W
Prediction: W

Target: M
Prediction: W

Target: H
Prediction: M

Target: I
Prediction: L

Target: V
Prediction: M

Target: W
Prediction: M

Target: A
Prediction: A

Target: I
Prediction: V

Target: J
Prediction: A

Target: B
Prediction: A

Target: F
Prediction: P

Target: P
Prediction: P

Target: E
Prediction: A

Target: W
Prediction: W

Target: C
Prediction: P

Target: H
Prediction: W

Target: Y
Prediction: L

Target: R
Prediction: W

Target: F
Prediction: W

Target: N
Prediction: W

Target: K
Prediction: M

Target: S
Prediction: M

Target: Z
Prediction: L

Target: M
Prediction: W

Target: F
Prediction: P

Target: C
Prediction: L

Target: C
Prediction: P

Target: O
Prediction: P

Target: N
Prediction: W

Target: C
Prediction: L

Target: E
Prediction: L

Target: B
Prediction: A

Target: B
Prediction: A

Target: G
Prediction: W

Target: N
Prediction: W

Target: S
Prediction: W

Target: D
Prediction: L

Target: G
Prediction: L

Target: V
Prediction: L

Target: Q
Prediction: W

Target: W
Prediction: M

Target: T
Prediction: L

Target: K
Prediction: W

Target: J
Prediction: A

Target: A
Prediction: A

Target: N
Prediction: W

Target: R
Prediction: W

Target: C
Prediction: W

Target: H
Prediction: P

Target: E
Prediction: L

Target: I
Prediction: L

Target: D
Prediction: W

Target: G
Prediction: L

Target: Z
Prediction: A

Target: J
Prediction: A

Target: K
Prediction: W

Target: D
Prediction: L

Target: P
Prediction: M

Target: B
Prediction: A

Target: E
Prediction: V

Target: N
Prediction: W

Target: Q
Prediction: W

Target: D
Prediction: M

Target: B
Prediction: P

Target: H
Prediction: L

Target: S
Prediction: W

Target: S
Prediction: A

Target: C
Prediction: W

Target: D
Prediction: L

Target: R
Prediction: A

Target: K
Prediction: W

Target: R
Prediction: W

Target: S
Prediction: W

Target: Z
Prediction: V

Target: S
Prediction: G

Target: N
Prediction: W

Target: X
Prediction: A

Target: B
Prediction: P

Target: B
Prediction: W

Target: V
Prediction: L

Target: O
Prediction: M

Target: P
Prediction: P

Target: G
Prediction: L

Target: C
Prediction: W

Target: A
Prediction: A

Target: T
Prediction: P

Target: U
Prediction: L

Target: E
Prediction: L

Target: U
Prediction: L

Target: Y
Prediction: A

Target: O
Prediction: P

Target: Z
Prediction: L

Target: X
Prediction: A

Target: N
Prediction: W

Target: S
Prediction: P

Target: K
Prediction: W

Target: C
Prediction: L

Target: O
Prediction: W

Target: S
Prediction: A

Target: I
Prediction: L

Target: A
Prediction: A

Target: M
Prediction: W

Target: J
Prediction: M

Target: V
Prediction: L

Target: Y
Prediction: V

Target: U
Prediction: W

Target: N
Prediction: W

Target: E
Prediction: L

Target: T
Prediction: L

Target: G
Prediction: A

Target: Z
Prediction: P

Target: E
Prediction: L

Target: V
Prediction: L

Target: E
Prediction: L

Target: D
Prediction: A

Target: N
Prediction: W

Target: X
Prediction: A

Target: H
Prediction: P

Target: E
Prediction: L

Target: D
Prediction: L

Target: L
Prediction: A

Target: U
Prediction: W

Target: O
Prediction: P

Target: X
Prediction: A

Target: F
Prediction: P

Target: R
Prediction: L

Target: D
Prediction: M

Target: M
Prediction: W

Target: K
Prediction: W

Target: V
Prediction: L

Target: K
Prediction: W

Target: G
Prediction: M

Target: J
Prediction: W

Target: W
Prediction: W

Target: T
Prediction: L

Target: A
Prediction: A

Target: R
