Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 20
Number of Epochs: 10000

****************
Learning Rate: 0.001
****************

Training log:
****************
Error after 100 epochs: 0.996995192303937
Error after 500 epochs: 0.996995192303937
Error after 1000 epochs: 0.9969951923039366
Error after 2000 epochs: 0.9969951923039365
Error after 5000 epochs: 0.9969951923039359
Error after 10000 epochs: 0.9969951923039336

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: B

Target: F
Prediction: B

Target: H
Prediction: B

Target: B
Prediction: B

Target: E
Prediction: B

Target: H
Prediction: B

Target: U
Prediction: B

Target: W
Prediction: B

Target: S
Prediction: B

Target: O
Prediction: B

Target: V
Prediction: B

Target: A
Prediction: B

Target: C
Prediction: B

Target: B
Prediction: B

Target: A
Prediction: B

Target: H
Prediction: B

Target: H
Prediction: B

Target: R
Prediction: B

Target: X
Prediction: B

Target: O
Prediction: B

Target: R
Prediction: B

Target: O
Prediction: B

Target: W
Prediction: B

Target: J
Prediction: B

Target: V
Prediction: B

Target: K
Prediction: B

Target: S
Prediction: B

Target: C
Prediction: B

Target: Q
Prediction: B

Target: X
Prediction: B

Target: A
Prediction: B

Target: F
Prediction: B

Target: T
Prediction: B

Target: O
Prediction: B

Target: G
Prediction: B

Target: K
Prediction: B

Target: Y
Prediction: B

Target: H
Prediction: B

Target: Z
Prediction: B

Target: C
Prediction: B

Target: P
Prediction: B

Target: C
Prediction: B

Target: Z
Prediction: B

Target: H
Prediction: B

Target: H
Prediction: B

Target: O
Prediction: B

Target: R
Prediction: B

Target: A
Prediction: B

Target: Y
Prediction: B

Target: N
Prediction: B

Target: Q
Prediction: B

Target: F
Prediction: B

Target: I
Prediction: B

Target: I
Prediction: B

Target: R
Prediction: B

Target: J
Prediction: B

Target: T
Prediction: B

Target: D
Prediction: B

Target: Q
Prediction: B

Target: P
Prediction: B

Target: P
Prediction: B

Target: V
Prediction: B

Target: W
Prediction: B

Target: J
Prediction: B

Target: P
Prediction: B

Target: K
Prediction: B

Target: M
Prediction: B

Target: K
Prediction: B

Target: N
Prediction: B

Target: P
Prediction: B

Target: O
Prediction: B

Target: F
Prediction: B

Target: R
Prediction: B

Target: D
Prediction: B

Target: D
Prediction: B

Target: M
Prediction: B

Target: Z
Prediction: B

Target: R
Prediction: B

Target: M
Prediction: B

Target: T
Prediction: B

Target: A
Prediction: B

Target: W
Prediction: B

Target: W
Prediction: B

Target: K
Prediction: B

Target: E
Prediction: B

Target: F
Prediction: B

Target: G
Prediction: B

Target: Q
Prediction: B

Target: V
Prediction: B

Target: Y
Prediction: B

Target: G
Prediction: B

Target: Y
Prediction: B

Target: O
Prediction: B

Target: I
Prediction: B

Target: X
Prediction: B

Target: U
Prediction: B

Target: G
Prediction: B

Target: N
Prediction: B

Target: Q
Prediction: B

Target: Y
Prediction: B

Target: Z
Prediction: B

Target: H
Prediction: B

Target: Q
Prediction: B

Target: O
Prediction: B

Target: S
Prediction: B

Target: O
Prediction: B

Target: I
Prediction: B

Target: G
Prediction: B

Target: G
Prediction: B

Target: P
Prediction: B

Target: W
Prediction: B

Target: Q
Prediction: B

Target: F
Prediction: B

Target: X
Prediction: B

Target: B
Prediction: B

Target: F
Prediction: B

Target: X
Prediction: B

Target: X
Prediction: B

Target: I
Prediction: B

Target: E
Prediction: B

Target: I
Prediction: B

Target: J
Prediction: B

Target: P
Prediction: B

Target: P
Prediction: B

Target: D
Prediction: B

Target: X
Prediction: B

Target: V
Prediction: B

Target: F
Prediction: B

Target: V
Prediction: B

Target: W
Prediction: B

Target: P
Prediction: B

Target: Q
Prediction: B

Target: E
Prediction: B

Target: I
Prediction: B

Target: A
Prediction: B

Target: O
Prediction: B

Target: N
Prediction: B

Target: M
Prediction: B

Target: L
Prediction: B

Target: R
Prediction: B

Target: B
Prediction: B

Target: S
Prediction: B

Target: J
Prediction: B

Target: K
Prediction: B

Target: O
Prediction: B

Target: I
Prediction: B

Target: Y
Prediction: B

Target: B
Prediction: B

Target: R
Prediction: B

Target: J
Prediction: B

Target: Z
Prediction: B

Target: N
Prediction: B

Target: B
Prediction: B

Target: S
Prediction: B

Target: U
Prediction: B

Target: J
Prediction: B

Target: Q
Prediction: B

Target: T
Prediction: B

Target: Z
Prediction: B

Target: F
Prediction: B

Target: J
Prediction: B

Target: L
Prediction: B

Target: V
Prediction: B

Target: I
Prediction: B

Target: U
Prediction: B

Target: K
Prediction: B

Target: E
Prediction: B

Target: F
Prediction: B

Target: N
Prediction: B

Target: A
Prediction: B

Target: N
Prediction: B

Target: B
Prediction: B

Target: J
Prediction: B

Target: P
Prediction: B

Target: Z
Prediction: B

Target: W
Prediction: B

Target: F
Prediction: B

Target: X
Prediction: B

Target: R
Prediction: B

Target: H
Prediction: B

Target: L
Prediction: B

Target: R
Prediction: B

Target: O
Prediction: B

Target: K
Prediction: B

Target: S
Prediction: B

Target: C
Prediction: B

Target: Y
Prediction: B

Target: Z
Prediction: B

Target: F
Prediction: B

Target: C
Prediction: B

Target: H
Prediction: B

Target: T
Prediction: B

Target: R
Prediction: B

Target: S
Prediction: B

Target: D
Prediction: B

Target: E
Prediction: B

Target: A
Prediction: B

Target: E
Prediction: B

Target: Y
Prediction: B

Target: P
Prediction: B

Target: J
Prediction: B

Target: W
Prediction: B

Target: M
Prediction: B

Target: H
Prediction: B

Target: I
Prediction: B

Target: V
Prediction: B

Target: W
Prediction: B

Target: A
Prediction: B

Target: I
Prediction: B

Target: J
Prediction: B

Target: B
Prediction: B

Target: F
Prediction: B

Target: P
Prediction: B

Target: E
Prediction: B

Target: W
Prediction: B

Target: C
Prediction: B

Target: H
Prediction: B

Target: Y
Prediction: B

Target: R
Prediction: B

Target: F
Prediction: B

Target: N
Prediction: B

Target: K
Prediction: B

Target: S
Prediction: B

Target: Z
Prediction: B

Target: M
Prediction: B

Target: F
Prediction: B

Target: C
Prediction: B

Target: C
Prediction: B

Target: O
Prediction: B

Target: N
Prediction: B

Target: C
Prediction: B

Target: E
Prediction: B

Target: B
Prediction: B

Target: B
Prediction: B

Target: G
Prediction: B

Target: N
Prediction: B

Target: S
Prediction: B

Target: D
Prediction: B

Target: G
Prediction: B

Target: V
Prediction: B

Target: Q
Prediction: B

Target: W
Prediction: B

Target: T
Prediction: B

Target: K
Prediction: B

Target: J
Prediction: B

Target: A
Prediction: B

Target: N
Prediction: B

Target: R
Prediction: B

Target: C
Prediction: B

Target: H
Prediction: B

Target: E
Prediction: B

Target: I
Prediction: B

Target: D
Prediction: B

Target: G
Prediction: B

Target: Z
Prediction: B

