Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 40
Number of Epochs: 10000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.4998260620086268
Error after 500 epochs: 0.17812248916793677
Error after 1000 epochs: 0.1750908738062361
Error after 2000 epochs: 0.15761899113507902
Error after 5000 epochs: 0.11361270346860698
Error after 10000 epochs: 0.09055168930848936

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: U

Target: F
Prediction: F

Target: H
Prediction: K

Target: B
Prediction: B

Target: E
Prediction: E

Target: H
Prediction: Y

Target: U
Prediction: U

Target: W
Prediction: W

Target: S
Prediction: S

Target: O
Prediction: O

Target: V
Prediction: V

Target: A
Prediction: A

Target: C
Prediction: C

Target: B
Prediction: B

Target: A
Prediction: N

Target: H
Prediction: D

Target: H
Prediction: H

Target: R
Prediction: R

Target: X
Prediction: X

Target: O
Prediction: G

Target: R
Prediction: G

Target: O
Prediction: O

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: V

Target: K
Prediction: K

Target: S
Prediction: G

Target: C
Prediction: C

Target: Q
Prediction: Q

Target: X
Prediction: X

Target: A
Prediction: A

Target: F
Prediction: F

Target: T
Prediction: Y

Target: O
Prediction: N

Target: G
Prediction: G

Target: K
Prediction: K

Target: Y
Prediction: V

Target: H
Prediction: N

Target: Z
Prediction: Z

Target: C
Prediction: C

Target: P
Prediction: P

Target: C
Prediction: C

Target: Z
Prediction: Z

Target: H
Prediction: H

Target: H
Prediction: H

Target: O
Prediction: O

Target: R
Prediction: R

Target: A
Prediction: A

Target: Y
Prediction: G

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: F
Prediction: F

Target: I
Prediction: N

Target: I
Prediction: I

Target: R
Prediction: N

Target: J
Prediction: J

Target: T
Prediction: F

Target: D
Prediction: D

Target: Q
Prediction: Q

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: V

Target: W
Prediction: W

Target: J
Prediction: J

Target: P
Prediction: D

Target: K
Prediction: R

Target: M
Prediction: N

Target: K
Prediction: N

Target: N
Prediction: N

Target: P
Prediction: B

Target: O
Prediction: O

Target: F
Prediction: F

Target: R
Prediction: R

Target: D
Prediction: Z

Target: D
Prediction: V

Target: M
Prediction: M

Target: Z
Prediction: Z

Target: R
Prediction: R

Target: M
Prediction: M

Target: T
Prediction: Y

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: X

Target: E
Prediction: I

Target: F
Prediction: F

Target: G
Prediction: G

Target: Q
Prediction: Q

Target: V
Prediction: V

Target: Y
Prediction: I

Target: G
Prediction: V

Target: Y
Prediction: V

Target: O
Prediction: D

Target: I
Prediction: I

Target: X
Prediction: X

Target: U
Prediction: U

Target: G
Prediction: G

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: Y
Prediction: Y

Target: Z
Prediction: E

Target: H
Prediction: D

Target: Q
Prediction: Q

Target: O
Prediction: N

Target: S
Prediction: S

Target: O
Prediction: O

Target: I
Prediction: Z

Target: G
Prediction: N

Target: G
Prediction: Q

Target: P
Prediction: P

Target: W
Prediction: W

Target: Q
Prediction: N

Target: F
Prediction: F

Target: X
Prediction: X

Target: B
Prediction: N

Target: F
Prediction: P

Target: X
Prediction: X

Target: X
Prediction: I

Target: I
Prediction: I

Target: E
Prediction: S

Target: I
Prediction: I

Target: J
Prediction: N

Target: P
Prediction: P

Target: P
Prediction: I

Target: D
Prediction: H

Target: X
Prediction: X

Target: V
Prediction: V

Target: F
Prediction: F

Target: V
Prediction: V

Target: W
Prediction: W

Target: P
Prediction: V

Target: Q
Prediction: Y

Target: E
Prediction: E

Target: I
Prediction: I

Target: A
Prediction: A

Target: O
Prediction: G

Target: N
Prediction: N

Target: M
Prediction: M

Target: L
Prediction: L

Target: R
Prediction: V

Target: B
Prediction: B

Target: S
Prediction: S

Target: J
Prediction: J

Target: K
Prediction: K

Target: O
Prediction: N

Target: I
Prediction: I

Target: Y
Prediction: Y

Target: B
Prediction: B

Target: R
Prediction: R

Target: J
Prediction: J

Target: Z
Prediction: Z

Target: N
Prediction: N

Target: B
Prediction: I

Target: S
Prediction: B

Target: U
Prediction: U

Target: J
Prediction: J

Target: Q
Prediction: K

Target: T
Prediction: Y

Target: Z
Prediction: Z

Target: F
Prediction: N

Target: J
Prediction: J

Target: L
Prediction: L

Target: V
Prediction: V

Target: I
Prediction: N

Target: U
Prediction: O

Target: K
Prediction: K
