Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 50
Number of Epochs: 10000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.47053452117454275
Error after 500 epochs: 0.2964948879790757
Error after 1000 epochs: 0.20584887601586696
Error after 2000 epochs: 0.156265612564326
Error after 5000 epochs: 0.12812708386183186
Error after 10000 epochs: 0.10859984940037094

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: U

Target: F
Prediction: P

Target: H
Prediction: H

Target: B
Prediction: B

Target: E
Prediction: E

Target: H
Prediction: I

Target: U
Prediction: U

Target: W
Prediction: W

Target: S
Prediction: S

Target: O
Prediction: O

Target: V
Prediction: V

Target: A
Prediction: A

Target: C
Prediction: U

Target: B
Prediction: I

Target: A
Prediction: A

Target: H
Prediction: H

Target: H
Prediction: H

Target: R
Prediction: R

Target: X
Prediction: X

Target: O
Prediction: H

Target: R
Prediction: P

Target: O
Prediction: O

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: Y

Target: K
Prediction: K

Target: S
Prediction: X

Target: C
Prediction: C

Target: Q
Prediction: A

Target: X
Prediction: X

Target: A
Prediction: A

Target: F
Prediction: F

Target: T
Prediction: T

Target: O
Prediction: A

Target: G
Prediction: G

Target: K
Prediction: K

Target: Y
Prediction: Y

Target: H
Prediction: M

Target: Z
Prediction: Z

Target: C
Prediction: C

Target: P
Prediction: P

Target: C
Prediction: C

Target: Z
Prediction: I

Target: H
Prediction: H

Target: H
Prediction: H

Target: O
Prediction: O

Target: R
Prediction: R

Target: A
Prediction: A

Target: Y
Prediction: U

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: F
Prediction: F

Target: I
Prediction: A

Target: I
Prediction: I

Target: R
Prediction: H

Target: J
Prediction: J

Target: T
Prediction: T

Target: D
Prediction: D

Target: Q
Prediction: Q

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: V

Target: W
Prediction: W

Target: J
Prediction: J

Target: P
Prediction: P

Target: K
Prediction: R

Target: M
Prediction: U

Target: K
Prediction: R

Target: N
Prediction: U

Target: P
Prediction: P

Target: O
Prediction: O

Target: F
Prediction: F

Target: R
Prediction: R

Target: D
Prediction: R

Target: D
Prediction: D

Target: M
Prediction: M

Target: Z
Prediction: Z

Target: R
Prediction: R

Target: M
Prediction: M

Target: T
Prediction: B

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: X

Target: E
Prediction: I

Target: F
Prediction: F

Target: G
Prediction: I

Target: Q
Prediction: Q

Target: V
Prediction: V

Target: Y
Prediction: P

Target: G
Prediction: X

Target: Y
Prediction: V

Target: O
Prediction: D

Target: I
Prediction: I

Target: X
Prediction: X

Target: U
Prediction: U

Target: G
Prediction: U

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: Y
Prediction: Y

Target: Z
Prediction: X

Target: H
Prediction: H

Target: Q
Prediction: A

Target: O
Prediction: A

Target: S
Prediction: S

Target: O
Prediction: O

Target: I
Prediction: I

Target: G
Prediction: P

Target: G
Prediction: U

Target: P
Prediction: P

Target: W
Prediction: W

Target: Q
Prediction: I

Target: F
Prediction: P

Target: X
Prediction: X

Target: B
Prediction: H

Target: F
Prediction: P

Target: X
Prediction: X

Target: X
Prediction: I

Target: I
Prediction: I

Target: E
Prediction: I

Target: I
Prediction: I

Target: J
Prediction: P

Target: P
Prediction: P

Target: P
Prediction: P

Target: D
Prediction: A

Target: X
Prediction: X

Target: V
Prediction: V

Target: F
Prediction: F

Target: V
Prediction: V

Target: W
Prediction: W

Target: P
Prediction: P

Target: Q
Prediction: P

Target: E
Prediction: E

Target: I
Prediction: I

Target: A
Prediction: A

Target: O
Prediction: O

Target: N
Prediction: N

Target: M
Prediction: M

Target: L
Prediction: L

Target: R
Prediction: R

Target: B
Prediction: B

Target: S
Prediction: S

Target: J
Prediction: I

Target: K
Prediction: X

Target: O
Prediction: A

Target: I
Prediction: I

Target: Y
Prediction: Y

Target: B
Prediction: B

Target: R
Prediction: R

Target: J
Prediction: J

Target: Z
Prediction: I

Target: N
Prediction: N

Target: B
Prediction: I

Target: S
Prediction: S

Target: U
Prediction: U

Target: J
Prediction: J

Target: Q
Prediction: U

Target: T
Prediction: T

Target: Z
Prediction: Z

Target: F
Prediction: P

Target: J
Prediction: J

Target: L
Prediction: L

Target: V
Prediction: V

Target: I
Prediction: I

Target: U
Prediction: U

Target: K
Prediction: U

Target: E
Prediction: I

Target: F
Prediction: F

Target: N
Prediction: N

Target: A
Prediction: A

Target: N
Prediction: N

Target: B
Prediction: H

Target: J
Prediction: J

Target: P
Prediction: P

Target: Z
Prediction: Z

Target: W
Prediction: W

Target: F
Prediction: F

Target: X
Prediction: X

Target: R
Prediction: R

Target: H
Prediction: H

Target: L
Prediction: L

Target: R
Prediction: R

Target: O
Prediction: O

Target: K
Prediction: U

Target: S
Prediction: S

Target: C
Prediction: C

Target: Y
Prediction: M

Target: Z
Prediction: Z

Target: F
Prediction: F

Target: C
Prediction: X

Target: H
Prediction: H

Target: T
Prediction: T

Target: R
Prediction: R

Target: S
Prediction: S

Target: D
Prediction: P

Target: E
Prediction: U

Target: A
Prediction: A

Target: E
Prediction: E

Target: Y
Prediction: Y

Target: P
Prediction: P

Target: J
Prediction: J

Target: W
Prediction: W

Target: M
Prediction: M

Target: H
Prediction: R

Target: I
Prediction: I

Target: V
Prediction: V

Target: W
Prediction: U

Target: A
Prediction: A

Target: I
Prediction: I

Target: J
Prediction: J

Target: B
Prediction: R

Target: F
Prediction: P

Target: P
Prediction: P

Target: E
Prediction: A

Target: W
Prediction: W

Target: C
Prediction: C

Target: H
Prediction: R

Target: Y
Prediction: Y

Target: R
Prediction: U

Target: F
Prediction: P

Target: N
Prediction: N

Target: K
Prediction: H

Target: S
Prediction: F

Target: Z
Prediction: Z

Target: M
Prediction: M

Target: F
Prediction: F

Target: C
Prediction: C

Target: C
Prediction: C

Target: O
Prediction: O

Target: N
Prediction: N

Target: C
Prediction: I

Target: E
Prediction: E

Target: B
Prediction: I

Target: B
Prediction: I

Target: G
Prediction: P

Target: N
Prediction: N

Target: S
Prediction: A

Target: D
Prediction: D

Target: G
Prediction: G

Target: V
Prediction: V

Target: Q
Prediction: Q

Target: W
Prediction: W

Target: T
Prediction: T

Target: K
Prediction: K

Target: J
Prediction: I

Target: A
Prediction: A

Target: N
Prediction: N

Target: R
Prediction: R

Target: C
Prediction: M

Target: H
Prediction: H

Target: E
Prediction: I

Target: I
Prediction: I

Target: D
Prediction: H

Target: G
Prediction: G

Target: Z
Prediction: Z

Target: J
Prediction: J

Target: K
Prediction: K

Target: D
Prediction: D

Target: P
Prediction: P

Target: B
Prediction: I

Target: E
Prediction: E

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: D
Prediction: P

Target: B
Prediction: B

Target: H
Prediction: U

Target: S
Prediction: H

Target: S
Prediction: I

Target: C
Prediction: P

Target: D
Prediction: P

Target: R
Prediction: A

Target: K
Prediction: A

Target: R
Prediction: R

Target: S
Prediction: U

Target: Z
Prediction: Z

Target: S
Prediction: S

Target: N
Prediction: N

Target: X
Prediction: X

Target: B
Prediction: B

Target: B
Prediction: U

Target: V
Prediction: V

Target: O
Prediction: O

Target: P
Prediction: P

Target: G
Prediction: I

Target: C
Prediction: M

Target: A
Prediction: A

Target: T
Prediction: T

Target: U
Prediction: U

Target: E
Prediction: E

Target: U
Prediction: U

Target: Y
Prediction: Y

Target: O
Prediction: H

Target: Z
Prediction: Z

Target: X
Prediction: X

Target: N
Prediction: N

Target: S
Prediction: S

Target: K
Prediction: R

Target: C
Prediction: C

Target: O
Prediction: R

Target: S
Prediction: A

Target: I
Prediction: I

Target: A
Prediction: A

Target: M
Prediction: M

Target: J
Prediction: J

Target: V
Prediction: V

Target: Y
Prediction: Y

Target: U
Prediction: U

Target: N
Prediction: N

Target: E
Prediction: E

Target: T
Prediction: T

Target: G
Prediction: V

Target: Z
Prediction: I

Target: E
Prediction: X

Target: V
Prediction: V

Target: E
Prediction: E

Target: D
Prediction: H

Target: N
Prediction: N

Target: X
Prediction: X

Target: H
Prediction: H

Target: E
Prediction: X

Target: D
Prediction: P

Target: L
Prediction: L

Target: U
Prediction: M

Target: O
Prediction: O

Target: X
Prediction: X

Target: F
Prediction: F

Target: R
Prediction: R

Target: D
Prediction: D

Target: M
Prediction: M

Target: K
Prediction: U

Target: V
Prediction: V

Target: K
Prediction: H

Target: G
Prediction: G

Target: J
Prediction: I

Target: W
Prediction: W

Target: T
Prediction: T

Target: A
Prediction: A

Target: R
Prediction: R

Target: D
Prediction: P

Target: B
Prediction: A

Target: D
Prediction: H

Target: S
Prediction: U

Target: S
Prediction: S

Target: J
Prediction: I

Target: Y
Prediction: P

Target: G
