Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 50
Number of Epochs: 2000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.09259778138761618
Error after 500 epochs: 0.07603844718125632
Error after 1000 epochs: 0.07698484321443831
Error after 2000 epochs: 0.08194521846167216

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: W

Target: F
Prediction: J

Target: H
Prediction: M

Target: B
Prediction: L

Target: E
Prediction: L

Target: H
Prediction: W

Target: U
Prediction: L

Target: W
Prediction: W

Target: S
Prediction: A

Target: O
Prediction: A

Target: V
Prediction: W

Target: A
Prediction: A

Target: C
Prediction: Y

Target: B
Prediction: A

Target: A
Prediction: A

Target: H
Prediction: L

Target: H
Prediction: A

Target: R
Prediction: L

Target: X
Prediction: J

Target: O
Prediction: A

Target: R
Prediction: W

Target: O
Prediction: A

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: W

Target: K
Prediction: L

Target: S
Prediction: A

Target: C
Prediction: L

Target: Q
Prediction: A

Target: X
Prediction: L

Target: A
Prediction: A

Target: F
Prediction: Y

Target: T
Prediction: W

Target: O
Prediction: A

Target: G
Prediction: L

Target: K
Prediction: M

Target: Y
Prediction: W

Target: H
Prediction: M

Target: Z
Prediction: L

Target: C
Prediction: L

Target: P
Prediction: A

Target: C
Prediction: L

Target: Z
Prediction: L

Target: H
Prediction: A

Target: H
Prediction: A

Target: O
Prediction: L

Target: R
Prediction: L

Target: A
Prediction: A

Target: Y
Prediction: W

Target: N
Prediction: W

Target: Q
Prediction: A

Target: F
Prediction: Y

Target: I
Prediction: A

Target: I
Prediction: L

Target: R
Prediction: W

Target: J
Prediction: A

Target: T
Prediction: W

Target: D
Prediction: U

Target: Q
Prediction: A

Target: P
Prediction: W

Target: P
Prediction: W

Target: V
Prediction: W

Target: W
Prediction: W

Target: J
Prediction: A

Target: P
Prediction: A

Target: K
Prediction: A

Target: M
Prediction: M

Target: K
Prediction: A

Target: N
Prediction: W

Target: P
Prediction: L

Target: O
Prediction: A

Target: F
Prediction: W

Target: R
Prediction: A

Target: D
Prediction: A

Target: D
Prediction: L

Target: M
Prediction: M

Target: Z
Prediction: J

Target: R
Prediction: A

Target: M
Prediction: M

Target: T
Prediction: W

Target: A
Prediction: A

Target: W
Prediction: W

Target: W
Prediction: W

Target: K
Prediction: Y

Target: E
Prediction: J

Target: F
Prediction: W

Target: G
Prediction: L

Target: Q
Prediction: V

Target: V
Prediction: W

Target: Y
Prediction: W

Target: G
Prediction: L

Target: Y
Prediction: Y

Target: O
Prediction: U

Target: I
Prediction: L

Target: X
Prediction: T

Target: U
Prediction: U

Target: G
Prediction: M

Target: N
Prediction: W

Target: Q
Prediction: Y

Target: Y
Prediction: W

Target: Z
Prediction: L

Target: H
Prediction: M

Target: Q
Prediction: A

Target: O
Prediction: J

Target: S
Prediction: L

Target: O
Prediction: A

Target: I
Prediction: J

Target: G
Prediction: W

Target: G
Prediction: W

Target: P
Prediction: A

Target: W
Prediction: W

Target: Q
Prediction: A

Target: F
Prediction: J

Target: X
Prediction: L

Target: B
Prediction: M

Target: F
Prediction: M

Target: X
Prediction: L

Target: X
Prediction: A

Target: I
Prediction: J

Target: E
Prediction: A

Target: I
Prediction: J

Target: J
Prediction: W

Target: P
Prediction: A

Target: P
Prediction: W

Target: D
Prediction: M

Target: X
Prediction: L

Target: V
Prediction: W

Target: F
Prediction: Y

Target: V
Prediction: W

Target: W
Prediction: W

Target: P
Prediction: W

Target: Q
Prediction: W

Target: E
Prediction: L

Target: I
Prediction: A

Target: A
Prediction: A

Target: O
Prediction: M

Target: N
Prediction: W

Target: M
Prediction: M

Target: L
Prediction: L

Target: R
Prediction: W

Target: B
Prediction: L

Target: S
Prediction: L

Target: J
Prediction: A

Target: K
Prediction: W

Target: O
Prediction: A

Target: I
Prediction: J

Target: Y
Prediction: W

Target: B
Prediction: L

Target: R
Prediction: A

Target: J
Prediction: A

Target: Z
Prediction: L

Target: N
Prediction: M

Target: B
Prediction: A

Target: S
Prediction: A

Target: U
Prediction: U

Target: J
Prediction: A

Target: Q
Prediction: A

Target: T
Prediction: W

Target: Z
Prediction: L

Target: F
Prediction: W

Target: J
Prediction: A

Target: L
Prediction: L

Target: V
Prediction: W

Target: I
Prediction: A

Target: U
Prediction: U

Target: K
Prediction: Y

Target: E
Prediction: L

Target: F
Prediction: W

Target: N
Prediction: M

Target: A
Prediction: A

Target: N
Prediction: W

Target: B
Prediction: A

Target: J
Prediction: A

Target: P
Prediction: W

Target: Z
Prediction: L

Target: W
Prediction: W

Target: F
Prediction: J

Target: X
Prediction: J

Target: R
Prediction: A

Target: H
Prediction: M

Target: L
Prediction: L

Target: R
Prediction: L

Target: O
Prediction: A

Target: K
Prediction: Y

Target: S
Prediction: L

Target: C
Prediction: L

Target: Y
Prediction: W

Target: Z
