Initialising Weights Using Xavier Weight Initialisation
Hidden Units: 60
Number of Epochs: 10000

****************
Learning Rate: 7.5e-06
****************

Training log:
****************
Error after 100 epochs: 0.7009360924724939
Error after 500 epochs: 0.5265991472177243
Error after 1000 epochs: 0.3121171203009714
Error after 2000 epochs: 0.21083158288558837
Error after 5000 epochs: 0.12117372837140182
Error after 10000 epochs: 0.10546659830054769

Testing log (showing every tenth set of targets/predictions):
****************
Target: U
Prediction: U

Target: F
Prediction: F

Target: H
Prediction: X

Target: B
Prediction: B

Target: E
Prediction: E

Target: H
Prediction: Z

Target: U
Prediction: U

Target: W
Prediction: W

Target: S
Prediction: S

Target: O
Prediction: O

Target: V
Prediction: V

Target: A
Prediction: A

Target: C
Prediction: C

Target: B
Prediction: X

Target: A
Prediction: A

Target: H
Prediction: O

Target: H
Prediction: H

Target: R
Prediction: R

Target: X
Prediction: X

Target: O
Prediction: O

Target: R
Prediction: A

Target: O
Prediction: O

Target: W
Prediction: W

Target: J
Prediction: J

Target: V
Prediction: V

Target: K
Prediction: K

Target: S
Prediction: S

Target: C
Prediction: O

Target: Q
Prediction: Q

Target: X
Prediction: X

Target: A
Prediction: A

Target: F
Prediction: F

Target: T
Prediction: T

Target: O
Prediction: O

Target: G
Prediction: G

Target: K
Prediction: K

Target: Y
Prediction: V

Target: H
Prediction: M

Target: Z
Prediction: Z

Target: C
Prediction: C

Target: P
Prediction: P

Target: C
Prediction: C

Target: Z
Prediction: Z

Target: H
Prediction: H

Target: H
Prediction: H

Target: O
Prediction: O

Target: R
Prediction: R

Target: A
Prediction: A

Target: Y
Prediction: Q

Target: N
Prediction: N

Target: Q
Prediction: Q

Target: F
Prediction: F

Target: I
Prediction: A

Target: I
Prediction: I

Target: R
Prediction: L

Target: J
Prediction: J

Target: T
Prediction: T

Target: D
Prediction: D

Target: Q
Prediction: Q

Target: P
Prediction: P

Target: P
Prediction: P

Target: V
Prediction: V

Target: W
Prediction: W

Target: J
Prediction: J

Target: P
Prediction: X

